player_name,normalized_player_name,club_name,decade,source_pass,confidence,input_position,reason,notes
Florin Cernat,florin cernat,Dynamo Kyiv,2000s,legends,Medium,AM,"Spelling, transliteration, identity, or club-name ambiguity",Name can appear as Florin Cernat / Florin Cherna(t); verify transliteration before import.
Diogo Rincon,diogo rincon,Dynamo Kyiv,2000s,legends,Medium,AM/FW,"Spelling, transliteration, identity, or club-name ambiguity",Verify spelling Diogo Rincón vs Diogo Rincon before import.
Mikola Shaparenko,mikola shaparenko,Dynamo Kyiv,2010s,legends,High,CM/AM,"Spelling, transliteration, identity, or club-name ambiguity",Could be transliterated Mykola Shaparenko; current exact normalized name absent.
Mikola Shaparenko,mikola shaparenko,Dynamo Kyiv,2020s,legends,High,CM/AM,"Spelling, transliteration, identity, or club-name ambiguity",Could be transliterated Mykola Shaparenko; current exact normalized name absent.
Viktor Tsygankov,viktor tsygankov,Dynamo Kyiv,2010s,legends,High,RM/AM,"Spelling, transliteration, identity, or club-name ambiguity",Could be transliterated Viktor Tsyhankov; current exact normalized name absent.
Viktor Tsygankov,viktor tsygankov,Dynamo Kyiv,2020s,legends,High,RM/AM,"Spelling, transliteration, identity, or club-name ambiguity",Could be transliterated Viktor Tsyhankov; current exact normalized name absent.
Vitaliy Buyalskyi,vitaliy buyalskyi,Dynamo Kyiv,2010s,legends,High,CM/AM,"Spelling, transliteration, identity, or club-name ambiguity",Could be transliterated Vitalii Buialskyi; current exact normalized name absent.
Vitaliy Buyalskyi,vitaliy buyalskyi,Dynamo Kyiv,2020s,legends,High,CM/AM,"Spelling, transliteration, identity, or club-name ambiguity",Could be transliterated Vitalii Buialskyi; current exact normalized name absent.
Olexiy Belik,olexiy belik,Shakhtar Donetsk,2000s,legends,High,FW,"Spelling, transliteration, identity, or club-name ambiguity",Could be transliterated Oleksiy Bielik / Oleksii Belik; verify spelling.
Volodymyr Polevyi,volodymyr polevyi,Metalurg Zaporizhya,2000s,legends,Medium,LB/LM,"Spelling, transliteration, identity, or club-name ambiguity",Spelling may be Volodymyr Polyovyi/Poleviy; verify transliteration.
Volodymyr Polevyi,volodymyr polevyi,Metalurg Zaporizhya,2010s,legends,Medium,LB/LM,"Spelling, transliteration, identity, or club-name ambiguity",Spelling may be Volodymyr Polyovyi/Poleviy; verify transliteration.
